EC-Lab ASCII FILE
Nb header lines : 3                           
Ewe/V	I/mA	time/s	
6,0055679E-001	1,0704966E-002	0,000000000000000E+000
6,0210389E-001	1,5675822E-002	5,999999848427251E-004
6,0571396E-001	2,2730846E-002	1,199999969685450E-003
6,1012632E-001	2,4361456E-002	1,799999954528175E-003
6,1385101E-001	2,1785544E-002	2,399999939370900E-003
6,1675441E-001	2,0389352E-002	2,999999924213625E-003
6,1962724E-001	2,1557618E-002	3,599999909056351E-003
6,2282473E-001	2,3251602E-002	4,199999893899076E-003
6,2630874E-001	2,4172472E-002	4,799999878741801E-003
6,2965137E-001	2,4115585E-002	5,399999863584526E-003
6,3276875E-001	2,4039609E-002	5,999999848427251E-003
6,3574851E-001	2,4484772E-002	6,599999833269976E-003
6,3878936E-001	2,5208639E-002	7,199999818112701E-003
6,4187992E-001	2,5559502E-002	7,799999802955426E-003
6,4489788E-001	2,5874855E-002	8,399999787798151E-003
6,4784324E-001	2,6145924E-002	8,999999772640876E-003
6,5069693E-001	2,6232973E-002	9,599999757483602E-003
6,5348577E-001	2,6492586E-002	1,019999974232633E-002
6,5628582E-001	2,6851082E-002	1,079999972716905E-002
6,5900964E-001	2,6965236E-002	1,139999971201178E-002
6,6163027E-001	2,6733493E-002	1,199999969685450E-002
6,6416693E-001	2,6629647E-002	1,259999968169723E-002
6,6660815E-001	2,6800307E-002	1,319999966653995E-002
6,6906828E-001	2,6780834E-002	1,379999965138268E-002
6,7135662E-001	2,6483422E-002	1,439999963622540E-002
6,7356855E-001	2,6170358E-002	1,499999962106813E-002
6,7570013E-001	2,6181430E-002	1,559999960591085E-002
6,7781276E-001	2,5898525E-002	1,619999959075358E-002
6,7973435E-001	2,5672128E-002	1,679999957559630E-002
6,8164057E-001	2,5254834E-002	1,739999956043903E-002
6,8344367E-001	2,4780275E-002	1,799999954528175E-002
6,8508643E-001	2,4424069E-002	1,859999953012448E-002
6,8667942E-001	2,3943782E-002	1,919999951496720E-002
6,8819994E-001	2,3242058E-002	1,979999949980993E-002
6,8955988E-001	2,2509793E-002	2,039999948465265E-002
6,9077086E-001	2,1961549E-002	2,099999946949538E-002
6,9202012E-001	2,1326637E-002	2,159999945433810E-002
6,9305921E-001	2,0640949E-002	2,219999943918083E-002
6,9406772E-001	1,9868979E-002	2,279999942402355E-002
6,9491577E-001	1,9010341E-002	2,339999940886628E-002
6,9558436E-001	1,8000899E-002	2,399999939370900E-002
6,9610393E-001	1,7031163E-002	2,459999937855173E-002
6,9657761E-001	1,6621124E-002	2,519999936339445E-002
6,9708180E-001	1,6070969E-002	2,579999934823718E-002
6,9734544E-001	1,5091688E-002	2,639999933307990E-002
6,9752884E-001	1,3859284E-002	2,699999931792263E-002
6,9752884E-001	1,2749813E-002	2,759999930276535E-002
6,9736069E-001	1,2253109E-002	2,819999928760808E-002
6,9722319E-001	1,1630415E-002	2,879999927245080E-002
6,9697493E-001	1,0667933E-002	2,939999925729353E-002
6,9654703E-001	9,4943233E-003	2,999999924213625E-002
6,9590521E-001	8,5929260E-003	3,059999922697898E-002
6,9529402E-001	7,6858019E-003	3,119999921182171E-002
6,9453377E-001	6,7908955E-003	3,179999919666443E-002
6,9368571E-001	6,0708467E-003	3,239999918150716E-002
6,9269627E-001	5,0049000E-003	3,299999916634988E-002
6,9156551E-001	4,0889950E-003	3,359999915119261E-002
6,9035834E-001	3,2341764E-003	3,419999913603533E-002
6,8905944E-001	2,2403873E-003	3,479999912087806E-002
6,8757337E-001	1,4672703E-003	3,539999910572078E-002
6,8607211E-001	6,7162805E-004	3,599999909056351E-002
6,8444461E-001	-2,2098786E-004	3,659999907540623E-002
6,8263382E-001	-6,6195073E-004	3,719999906024896E-002
6,8089563E-001	-1,3663461E-003	3,779999904509168E-002
6,7899323E-001	-2,5265941E-003	3,839999902993441E-002
6,7693794E-001	-3,3455249E-003	3,899999901477713E-002
6,7479479E-001	-3,9693634E-003	3,959999899961986E-002
6,7261338E-001	-4,6680318E-003	4,019999898446258E-002
6,7023724E-001	-5,5060526E-003	4,079999896930531E-002
6,6792226E-001	-6,1382907E-003	4,139999895414803E-002
6,6546971E-001	-6,7938170E-003	4,199999893899076E-002
6,6286427E-001	-7,4871401E-003	4,259999892383348E-002
6,6021311E-001	-8,1029609E-003	4,319999890867621E-002
6,5761149E-001	-8,6244820E-003	4,379999889351893E-002
6,5479982E-001	-9,4747189E-003	4,439999887836166E-002
6,5192318E-001	-1,0027546E-002	4,499999886320438E-002
6,4903891E-001	-1,0304340E-002	4,559999884804711E-002
6,4604777E-001	-1,0493706E-002	4,619999883288983E-002
6,4319021E-001	-1,1045004E-002	4,679999881773256E-002
6,4002329E-001	-1,1846756E-002	4,739999880257528E-002
6,3680667E-001	-1,2067810E-002	4,799999878741801E-002
6,3366640E-001	-1,2136913E-002	4,859999877226073E-002
6,3051099E-001	-1,2533206E-002	4,919999875710346E-002
6,2726754E-001	-1,2943628E-002	4,979999874194618E-002
6,2389433E-001	-1,3389935E-002	5,039999872678891E-002
6,2057847E-001	-1,3519743E-002	5,099999871163163E-002
6,1725873E-001	-1,3667875E-002	5,159999869647436E-002
6,1386633E-001	-1,4100056E-002	5,219999868131708E-002
6,1045104E-001	-1,4342110E-002	5,279999866615981E-002
6,0698229E-001	-1,4323401E-002	5,339999865100253E-002
6,0358238E-001	-1,4444428E-002	5,399999863584526E-002
6,0020530E-001	-1,4753292E-002	5,459999862068798E-002
5,9666014E-001	-1,4888064E-002	5,519999860553071E-002
5,9319139E-001	-1,4916317E-002	5,579999859037343E-002
5,8977991E-001	-1,4831942E-002	5,639999857521616E-002
5,8626533E-001	-1,4824688E-002	5,699999856005888E-002
5,8286154E-001	-1,4810560E-002	5,759999854490161E-002
5,7947689E-001	-1,5045741E-002	5,819999852974433E-002
5,7601953E-001	-1,5040778E-002	5,879999851458706E-002
5,7266539E-001	-1,4784600E-002	5,939999849942978E-002
5,6931895E-001	-1,4936169E-002	5,999999848427251E-002
5,6602204E-001	-1,4863249E-002	6,059999846911523E-002
5,6267178E-001	-1,5059485E-002	6,119999845395796E-002
5,5937874E-001	-1,4749858E-002	6,179999843880069E-002
5,5621946E-001	-1,4704425E-002	6,239999842364341E-002
5,5297989E-001	-1,4609741E-002	6,299999840848614E-002
5,4987031E-001	-1,4698698E-002	6,359999839332886E-002
5,4676443E-001	-1,4467718E-002	6,419999837817159E-002
5,4368150E-001	-1,4331802E-002	6,479999836301431E-002
5,4072082E-001	-1,3901146E-002	6,539999834785704E-002
5,3782517E-001	-1,3699182E-002	6,599999833269976E-002
5,3497910E-001	-1,3557157E-002	6,659999831754249E-002
5,3220564E-001	-1,3437278E-002	6,719999830238521E-002
5,2947795E-001	-1,3098250E-002	6,779999828722794E-002
5,2674276E-001	-1,2589712E-002	6,839999827207066E-002
5,2427489E-001	-1,2262902E-002	6,899999825691339E-002
5,2177638E-001	-1,2138822E-002	6,959999824175611E-002
5,1932007E-001	-1,1842938E-002	7,019999822659884E-002
5,1700884E-001	-1,1340507E-002	7,079999821144156E-002
5,1486182E-001	-1,0928942E-002	7,139999819628429E-002
5,1271880E-001	-1,0909471E-002	7,199999818112701E-002
5,1061767E-001	-1,0515468E-002	7,259999816596974E-002
5,0858909E-001	-1,0016092E-002	7,319999815081246E-002
5,0683570E-001	-9,5060254E-003	7,379999813565519E-002
5,0507450E-001	-9,3330760E-003	7,439999812049791E-002
5,0340897E-001	-8,8818045E-003	7,499999810534064E-002
5,0188082E-001	-8,5626319E-003	7,559999809018336E-002
5,0042152E-001	-7,9704812E-003	7,619999807502609E-002
4,9903476E-001	-7,4497252E-003	7,679999805986881E-002
4,9777409E-001	-6,9602756E-003	7,739999804471154E-002
4,9670452E-001	-6,5032779E-003	7,799999802955426E-002
4,9577227E-001	-6,2784050E-003	7,859999801439699E-002
4,9484023E-001	-5,7839928E-003	7,919999799923971E-002
4,9404171E-001	-5,5010896E-003	7,979999798408244E-002
4,9330825E-001	-5,1212120E-003	8,039999796892516E-002
4,9270082E-001	-4,6840669E-003	8,099999795376789E-002
4,9228448E-001	-4,1018431E-003	8,159999793861061E-002
4,9198267E-001	-3,5574164E-003	8,219999792345334E-002
4,9175727E-001	-3,4810593E-003	8,279999790829606E-002
4,9156627E-001	-3,1805937E-003	8,339999789313879E-002
4,9149746E-001	-2,6247131E-003	8,399999787798151E-002
4,9176106E-001	-1,8771759E-003	8,459999786282424E-002
4,9200177E-001	-1,5427313E-003	8,519999784766696E-002
4,9235702E-001	-1,1468190E-003	8,579999783250969E-002
4,9283841E-001	-6,0621003E-004	8,639999781735241E-002
4,9337703E-001	-1,3050453E-004	8,699999780219514E-002
4,9403417E-001	3,8147060E-004	8,759999778703786E-002
4,9485934E-001	8,7053853E-004	8,819999777188059E-002
4,9573037E-001	1,3943490E-003	8,879999775672331E-002
4,9672741E-001	1,8555467E-003	8,939999774156604E-002
